mot	lemme
avait	avoir
positif	positif
toutefois	toutefois
n'	ne
a	avoir
développé	développé
complications	complication
nécessitant	nécessiter
soins	soin
importants	important
ce	ce
sanguin	sanguin
protéine	protéine
s-100b	s-100b
apparaît	apparaître
technique	technique
prometteuse	prometteur
devrait	devoir
permettre	permettre
avenir	avenir
proche	proche
d'	de
apporter	apporter
prise	prise
charge	charge
traumatisés	traumatisé
crâniens	crânien
légers	léger
sûre	sûr
moins	moins
coûteuse	coûteux
production	production
pancréatiques	pancréatique
humaines	humain
organe	organe
complexe	complexe
pancréas	pancréas
site	site
production	production
d'	de
hormones	hormone
l'	le
acteur	acteur
libération	libération
l'	le
organisme	organisme
la	le
partie	partie
endocrine	endocrine
c'	ce
est	est
à	à
dire	dire
productrice	producteur
d'	de
hormones	hormone
organe	organe
composée	composer
alpha	alpha
organisées	organisée
îlots	îlot
dits	dit
langerhans	langerhans
produisant	produire
respectivement	respectivement
glucagon	glucagon
l'	le
insuline	insuline
rappelons	rappelons
hormones	hormone
régulent	réguler
taux	taux
sucre	sucre
l'	le
organisme	organisme
la	le
destruction	destruction
productrices	producteur
d'	de
insuline	insulin
conduit	conduire
diabète	diabète
type	type
perturbation	perturbation
fonctionnement	fonctionnement
entraîne	entraîn
diabète	diabète
type	type
maladies	maladie
touchent	toucher
millions	million
personnes	personne
france	france
depuis	depuis
trentaine	trentaine
d'	de
années	année
entier	entier
tentent	tenter
sans	sans
succès	succès
reproduire	reproduire
bêta	bêta
or	or
raphael	raphael
scharfmann	scharfmann
directeur	directeur
inserm	inserm
l'	le
unité	unité
centre	centre
croissance	croissance
signalisation	signalisation
collaboration	collaboration
l'	le
équipe	équipe
cnrs	cnrs
philippe	philippe
ravassard	ravassard
centre	centre
l'	le
institut	institut
cerveau	cerveau
moelle	moelle
épinière	épinière
cnrs	cnrs
/	sur
umpc	umpc
inserm	inserm
vient	venir
réaliser	réaliser
première	premier
produisant	produire
pancréatiques	pancréatique
humaines	humain
la	le
étape	étape
consisté	consister
transférer	transférer
fragment	fragment
pancréas	pancréas
foetal	foetal
humain	humain
vecteur	vecteur
viral	viral
comprenant	comprendre
gène	gèn
immortalisant	immortalisant
sous	sou
contrôle	contrôle
d'	de
un	un
promoteur	promoteur
spécifique	spécifique
bêta	bêta
précisons	précison
vecteur	vecteur
viral	viral
peut	pouvoir
s'	se
intégrer	intégrer
hasard	hasard
l'	le
adn	adn
nombreuses	nombreux
cellules	cellule
gène	gèn
immortalisant	immortalisant
lui	luire
spécificité	spécificité
s'	se
exprimer	exprimer
bêta	bêta
d'	de
où	où
avantage	avantage
sélectif	sélectif
dernières	dernier
vont	aller
pouvoir	pouvoir
multiplier	multiplier
sans	sans
jamais	jamais
mourir	mourir
au	au
d'	de
une	un
seconde	second
étape	étape
tissus	tissu
pancréatique	pancréatique
transplanté	transplanter
l'	le
organisme	organisme
d'	de
une	un
souris	souris
immunodéficiente	immunodéficiente
scid	scid
permettant	permettre
différenciation	différenciation
l'	le
amplification	amplification
matures	mature
au	au
bout	bout
mois	mois
tumeur	tumeur
formée	formé
retirée	retirée
dissociée	dissocier
générées	générée
amplifiées	amplifiée
culture	culture
lignées	ligner
stables	stable
obtenues	obtenir
un	un
protocole	protocole
complexe	complexe
permis	permettre
d'	de
obtenir	obtenir
lignées	ligner
certaines	certain
propriétés	propriété
moléculaires	moléculaire
fonctionnelles	fonctionnel
proches	proche
d'	de
une	un
humaine	humain
adulte	adulte
pour	pour
tester	tester
l'	le
efficacité	efficacité
cellules	cellule
ensuite	ensuite
greffées	greffer
souris	souris
diabétique	diabétique
chez	chez
laquelle	lequel
elles	lui
parfaitement	parfaitement
restauré	restaurer
contrôle	contrôle
glycémie	glycémie
grâce	grâce
travaux	travail
résultats	résultat
viennent	venir
d'	de
être	être
publiés	publier
revue	revue
the	the
journal	journal
of	of
clinical	clinical
investigation	investigation
nombreuses	nombreux
équipes	équipe
vont	aller
désormais	désormais
pouvoir	pouvoir
travailler	travailler
humaines	humain
tant	tant
attendues	attendre
en	en
outre	outre
représentent	représenter
base	base
solide	solide
définition	définition
nouvelles	nouveau
approche	approche
thérapeutiques	thérapeutique
diabètes	diabète
précisons	précison
enfin	enfin
collaboration	collaboration
scientifique	scientifique
conduit	conduire
création	création
d'	de
une	un
start	start
up	up
endocells	endocells
colloque	colloque
international	international
changement	changement
climatique	climatique
impacts	impact
adaptations	adaptation
le	le
octobre	octobre
paris	paris
tient	tenir
colloque	colloque
international	international
intitulé	intituler
changement	changement
climatique	climatique
impacts	impact
adaptations	adaptation
créé	créer
forum	forum
axé	axer
autour	autour
problématique	problématique
changement	changement
climatique	climatique
objectifs	objectif
d'	de
informer	informer
sensibiliser	sensibiliser
créer	créer
synergie	synergie
professionnels	professionnel
ainsi	ainsi
chaque	chaque
année	année
différentes	différents
communautés	communauté
scientifiques	scientifique
décideurs	décideur
économiques	économique
élus	élu
collectivités	collectivité
acteurs	acteur
durable	durable
journalistes	journaliste
météo	météo
échangent	échanger
dialoguent	dialoguer
au	au
journée	journée
thèmes	thème
seront	être
abordés	aborder
l'	le
adaptation	adaptation
l'	le
échelle	échelle
nationale	national
européenne	européen
rôle	rôle
scientifiques	scientifique
plans	plan
d'	de
adaptation	adaptation
l'	le
adaptation	adaptation
l'	le
échelle	échelle
locale	local
secteur	secteur
privé	priver
face	face
l'	le
adaptation	adaptation
comment	comment
associer	associer
public	public
stratégies	stratégie
d'	de
adaptation	adaptation
conférence	conférence
régionale	régional
paris	paris
4ème	4ème
forum	forum
futur	futur
l'	le
agriculture	agriculture
le	le
octobre	octobre
paris	paris
4ème	4ème
forum	forum
futur	futur
l'	le
agriculture	agriculture
organise	organis
conférence	conférence
régionale	régional
paris	paris
intitulée	intituler
compétitivité	compétitivité
environnement	environnement
l'	le
agriculture	agriculture
demain	demain
seule	seul
option	option
l'	le
europe	europe
france	france
celle	celui
ci	ci
suite	suite
conférence	conférence
s'	se
est	être
tenue	tenir
mars	mars
bruxelles	bruxelles
l'	le
european	european
landowner'	landowner'
s	s
organization	organization
elo	elo
saf	saf
agriculteurs	agriculteur
france	france
groupe	groupe
syngenta	syngenta
réunis	réuni
créer	créer
nouveau	nouveau
forum	forum
lequel	lequel
l'	le
avenir	avenir
l'	le
agriculture	agriculture
sera	être
débattu	débattre
perspective	perspective
européenne	européen
l'	le
occasion	occasion
duquel	duquel
principaux	principal
défis	défi
feront	faire
l'	le
objets	objet
débats	débat
prix	prix
médecine	médecine
jules	jules
hoffmann	hoffmann
gentleman	gentleman
science	science
le	le
septembre	septembre
dernier	dernier
cnrs	cnrs
annonçait	annoncer
médaille	médaille
d'	de
or	or
rappelons	rappelon
le	le
haute	haute
distinction	distinction
scientifique	scientifique
france	france
était	être
décernée	décerner
année	année
jules	jules
hoffmann	hoffmann
lui	luire
sera	être
remise	remettre
officiellement	officiellement
décembre	décembre
prochain	prochain
a	avoir
peine	peine
temps	temps
souffler	souffler
octobre	octobre
suivant	suivant
comité	comité
nobel	nobel
annonçait	annoncer
tour	tour
lauréats	lauréat
nobel	nobel
médecine	médecine
physiologie	physiologie
parmi	parmi
lesquels	lequel
figurent	figurer
jules	jules
hoffmann	hoffmann
une	un
première	premier
car	car
année	année
création	création
médaille	médaille
d'	de
or	or
cnrs	cnrs
lauréats	lauréat
reçu	recevoir
suite	suite
nobel	nobel
discipline	discipline
jules	jules
hoffmann	hoffmann
premier	premier
scientifique	scientifique
l'	le
on	on
décerne	décerner
année	année
cette	ce
première	premier
d'	de
autant	autant
remarquable	remarquable
qu'	que
elle	lui
suite	suite
l'	le
attribution	attribution
autres	autre
prestigieux	prestigieu
derniers	dernier
mois	mois
keyo	keyo
international	international
gairdner	gairdner
et	et
récemment	récemment
shaw	shaw
pionnier	pionnier
l'	le
étude	étude
l'	le
immunité	immunité
chez	chez
insectes	insecte
qu'	que
est	être
jules	jules
hoffmann	hoffmann
nous	nous
sommes	être
réunis	réunir
d'	de
un	un
commun	commun
accord	accord
avons	avoir
décidé	décider
décerner	décerner
médaille	médaille
d'	de
or	or
cnrs	cnrs
jules	jules
hoffmann	hoffmann
ce	ce
choix	choix
apparaissait	apparaître
évidence	évidence
rappelé	rappeler
joël	joël
bertrand	bertrand
directeur	directeur
général	général
cnrs	cnrs
suite	suite
l'	le
annonce	annonce
lauréats	lauréat
nobel	nobel
médecine	médecine
physiologie	physiologie
c'	ce
est	être
joie	joie
immense	immense
qu'	que
un	un
lauréat	lauréat
d'	de
une	un
médaille	médaille
d'	de
or	or
cnrs	cnrs
soit	être
reconnu	reconnaître
meilleur	meilleur
niveau	niveau
d'	de
excellence	excellence
mondial	mondial
année	année
unique	unique
a	avoir
-t	-t
-il	il
ajouté	ajouter
une	un
joie	joie
d'	de
autant	autant
grande	grand
qualité	qualité
nature	nature
sciences	science
vie	vie
cnrs	cnrs
parfois	parfois
l'	le
objet	objet
critiques	critique
injustifiées	injustifier
part	part
certains	certain
médias	média
dernières	dernier
années	année
une	un
joie	joie
partagée	partager
jean-françois	jean-françois
bach	bach
secrétaire	secrétaire
perpétuel	perpétuel
l'	le
académie	académie
sciences	science
lui-même	lui-même
immunologiste	immunologist
réputé	réputé
mondialement	mondialement
ami	ami
jules	jules
hoffmann	hoffmann
qui	qui
après	après
avoir	avoir
rappelé	rappeler
événement	événement
n'	ne
était	être
totalement	totalement
inattendu	inattendu
souligné	souligner
le	le
choix	choix
formidable	formidable
intelligent	intelliger
comité	comité
nobel	nobel
décerné	décerner
lauréats	lauréat
l'	le
un	un
travaille	travailler
l'	le
immunité	immunité
adaptative	adaptatif
autres	autre
jules	jules
hoffmann	hoffmann
s'	se
intéressent	intéresser
l'	le
immunité	immunité
innée	inné
jean-françois	jean-françois
bach	bach
rappelé	rappeler
jules	jules
hoffmann	hoffmann
personnage	personnage
élégant	éléger
élégance	élégance
naturelle	naturel
lui	luire
dire	dire
qu'	que
il	il
était	être
heureux	heureux
simplement	simplement
quand	quand
appris	apprendre
qu'	que
il	il
était	être
lauréat	lauréat
nobel	nobel
préférant	préférer
laisser	laisser
fierté	fierter
d'	de
autres	autre
un	un
homme	homme
chaleureux	chaleureux
convivial	convivial
peu	peu
hors	hors
commun	commun
l'	le
humour	humour
certes	certes
peut	pouvoir
paraître	paraître
parfois	parfois
peu	peu
austère	austère
a	avoir
-t	-t
-il	il
déclaré	déclarer
avant	avant
d'	de
ajouter	ajouter
mais	mais
c'	ce
est	être
homme	homme
relations	relation
humaines	humain
lequel	lequel
j'	je
ai	avoir
eu	avoir
plaisir	plaisir
travailler	travailler
durant	durer
ans	an
qu'	que
il	il
était	être
président	président
l'	le
académie	académie
sciences	sciences
c'	ce
est	être
esprit	esprit
ouvert	ouvert
s'	se
intéresse	intéresser
beaucoup	beaucoup
sujets	sujet
bien	bien
au-delà	au-delà
frontières	frontière
l'	le
immunologie	immunologie
cela	celer
dit	dire
aurait	avoir
cru	croire
lorsque	lorsque
jules	jules
hoffmann	hoffmann
étudiant	étudiant
sciences	science
naturelles	naturel
l'	le
université	université
strasbourg	strasbourg
décidé	décider
d'	de
entamer	entamer
thèse	thèse
mécanismes	mécanisme
défense	défense
antimicrobiens	antimicrobien
insectes	insecte
qu'	que
il	il
allait	aller
équipes	équipe
contribuer	contribuer
révolutionner	révolutionner
compréhension	compréhension
système	système
immunitaire	immunitaire
inné	inné
compris	comprendre
l'	le
homme	homme
lui-même	lui-même
les	le
insectes	insecte
qu'	que
il	il
connaît	connaître
bien	bien
longtemps	longtemps
adolescent	adolescent
courait	courir
campagne	campagne
luxembourgeoise	luxembourgeois
père	père
professeur	professeur
sciences	science
naturelles	naturel
lycée	lycer
répertorier	répertorier
insectes	insecte
rencontrés	rencontrer
aussi	aussi
lorsque	lorsque
jeune	jeune
chercheur	chercheur
qu'	que
il	il
débute	débute
carrière	carrière
cnrs	cnrs
fin	fin
objectif	objectif
est	être
-il	il
comprendre	comprendre
pourquoi	pourquoi
comment	comment
insectes	insecte
défendent	défendre
bien	bien
contre	contre
agressions	agression
extérieures	extérieure
utiliser	utiliser
connaissance	connaissance
mieux	mieux
combattre	combattre
dans	dans
laboratoires	laboratoire
transplantait	transplanter
dizaines	dizaine
d'	de
années	année
organes	organe
d'	de
un	un
insecte	insecte
l'	le
autre	autre
sans	sans
jamais	jamais
provoquer	provoquer
d'	de
infections	infection
rappelle	rappell
jules	jules
hoffmann	hoffmann
ses	son
travaux	travail
menés	mener
professeur	professeur
pierre	pierre
joly	joly
prendra	prendra
succession	succession
vont	aller
conduire	conduire
s'	se
intéresser	intéresser
système	système
endocrine	endocrine
criquet	criquet
migrateur	migrateur
avec	avec
recul	recul
m'	me
arrive	arriver
regretter	regretter
d'	de
avoir	avoir
délaissé	délaisser
pendant	pendant
toutes	tout
mécanismes	mécanisme
antimicrobiens	antimicrobien
l'	le
endocrinologie	endocrinologie
déclare	déclarer
-t	-t
-il	il
pour	pour
autant	autant
reconnaît	reconnaître
recherches	recherche
apporté	apporter
argent	argent
contacts	contact
laboratoire	laboratoir
ce	ce
n'	ne
est	être
qu'	que
à	à
fin	fin
groupe	groupe
jules	jules
hoffmann	hoffmann
décide	décider
d'	de
abandonner	abandonner
études	étude
consacrer	consacrer
exclusivement	exclusivement
mécanismes	mécanisme
défense	défense
contre	contre
bactéries	bactérie
champignons	champignon
qui	qui
est	être
choix	choix
fameuse	fameux
mouche	mouche
drosophile	drosophil
facile	facile
muter	muter
plan	plan
génétique	génétique
choix	choix
s'	se
avère	avérer
stratégique	stratégique
notre	notre
premier	premier
objectif	objectif
était	être
d'	de
identifier	identifier
familles	famille
peptides	peptide
antimicrobiens	antimicrobien
substances	substance
mouche	mouche
produit	produire
défendre	défendre
contre	contre
agressions	agression
pour	pour
faire	faire
avons	avoir
dû	devoir
piquer	piquer
infecter	infecter
près	près
mouches	mouche
souvient	souvient
biologiste	biologiste
strasbourgeois	strasbourgeois
logique	logique
l'	le
étape	étape
suivante	suivant
allait	aller
consister	consister
chercher	chercher
comment	comment
peptides	peptide
étaient	être
produits	produire
c'	ce
est	être
autres	autre
collègues	collègue
bruno	bruno
lemaître	lemaître
jean-marc	jean-marc
reichhart	reichhart
avons	avoir
réussi	réussir
montrer	montrer
récepteur	récepteur
toll	toll
connu	connaître
implication	implication
l'	le
axe	axe
dorso	dorso
ventral	ventral
mouche	mouche
jouait	jouer
rôle	rôle
central	central
fonctionnement	fonctionnement
l'	le
immunité	immunité
innée	inné
drosophile	drosophile
permettant	permettre
d'	de
identifier	identifier
l'	le
agresseur	agresseur
déclencher	déclencher
réponse	réponse
anti-microbienne	anti-microbienn
résume	résumer
jules	jules
hoffmann	hoffmann
publiés	publier
revue	revue
scientifique	scientifique
cell	cell
résultats	résultat
font	faire
l'	le
effet	effet
d'	de
une	un
bombe	bombe
spécialistes	spécialiste
l'	le
immunologie	immunologie
ainsi	ainsi
ceux	celui
suivaient	suivaient
groupe	groupe
jules	jules
hoffmann	hoffmann
quelques	quelque
travaillaient	travailler
mammifères	mammifère
mis	mettre
chercher	chercher
s'	se
il	il
existait	exister
récepteurs	récepteur
toll	toll
groupe	groupe
et	et
c'	ce
est	être
tard	tard
récepteurs	récepteur
baptisés	baptiser
toll	toll
like	lik
receptors	receptors
ou	ou
tlrs	tlr
identifiés	identifié
chez	chez
l'	le
homme	homme
les	le
découvrent	découvrir
chez	chez
mammifères	mammifère
récepteurs	récepteur
constituent	constituer
système	système
d'	de
alarme	alarme
déclenche	déclenche
système	système
immunitaire	immunitaire
adaptatif	adaptatif
rappelons	rappelons
chaque	chaque
mammifère	mammifère
dispose	disposer
d'	de
un	un
système	système
immunitaire	immunitaire
adaptatif	adaptatif
système	système
immunitaire	immunitaire
inné	inné
au	au
départ	départ
voulions	voulion
comprendre	comprendre
comment	comment
l'	le
insecte	insecte
défend	défend
bloquer	bloquer
défenses	défense
neutraliser	neutraliser
or	or
grâce	grâce
drosophile	drosophile
avons	avoir
pu	pouvoir
apporter	apporter
quinze	quinze
éléments	élément
nouveaux	nouveau
importants	important
l'	le
immunité	immunité
innée	inné
concernent	concerner
tous	tout
grands	grand
groupes	groupe
animaux	animal
compris	compris
l'	le
homme	homme
chez	chez
sujet	sujet
était	être
peu	peu
étudié	étudier
constate	constater
nobel	nobel
médecine	médecine
physiologie	physiologie
un	un
l'	le
entreprise	entreprise
est	être
-ce	-ce
incongru	incongru
s'	se
adapter	adapter
innover	innover
survivre	survivre
tel	tel
sous-titre	sous-titre
l'	le
ouvrage	ouvrage
dérangeant	dérangeant
pascal	pascal
picq	picq
réputé	réputé
collège	collège
france	france
spécialiste	spécialiste
origines	origine
l'	le
évolution	évolution
vie	vie
humaine	humain
grands	grand
singes	singe
un	un
l'	le
entreprise	entreprise
cela	celer
peut	pouvoir
paraître	paraître
peu	peu
incongru	incongru
moins	moins
surprenant	surprenant
reconnaît	reconnaître
-il	il
d'	de
emblée	emblée
ajoutant	ajouter
note	note
d'	de
humour	humour
caractérise	caractéris
mon	mon
propos	propos
n'	ne
est	être
constat	constat
fossilisation	fossilisation
entreprises	entreprise
dans	dans
ouvrage	ouvrage
publient	publient
editions	edition
eyrolles	eyrolles
pascal	pascal
picq	picq
commence	commence
rappeler	rappeler
qu'	que
est	être
l'	le
évolution	évolution
particulièrement	particulièrement
l'	le
évoluton	évoluton
dite	dire
darwinienne	darwinien
nom	nom
grand	grand
naturaliste	naturaliste
anglais	anglais
l'	le
a	avoir
développé	développer
proposé	proposer
théorie	théorie
couler	couler
beaucoup	beaucoup
d'	de
encre	encre
aujourd'hui	aujourd'hui
encore	encore
darwin	darwin
expose	exposer
théorie	théorie
n'	ne
est	être
ni	ni
gentille	gentille
ni	ni
méchante	méchant
c'	ce
est	être
simplement	simplement
théorie	théorie
changement	changement
nature	nature
et	et
darwin	darwin
dit	dire
comment	comment
changement	changement
comment	comment
individus	individu
s'	se
adaptent	adapter
précise	préciser
chercheur	chercheur
collège	collège
france	france
que	que
vous	vous
vouliez	vouloir
non	non
vivons	vivre
tous	tout
darwinien	darwinien
ajoute	ajouter
-t	-t
-il	il
il	il
rappelle	rappeler
qu'	que
au	au
d'	de
une	un
entité	entité
regroupant	regrouper
individus	individu
différents	différent
uns	un
autres	autre
qu'	que
il	il
s'	se
agisse	agir
d'	de
une	un
population	population
humaine	humain
d'	de
une	un
entreprise	entreprise
effectifs	effectif
tendance	tendance
varier	varier
ceux	celui
ci	ci
confrontés	confronter
ressources	ressource
limitées	limiter
mécanismes	mécanisme
l'	le
évolution	évolution
variation	variation
sélection	sélection
naturelle	naturel
adaptation	adaptation
mettent	mettre
place	place
vous	vous
n'	ne
y	y
échappez	échapper
pas	pas
précise	préciser
-t	-t
-il	il
ainsi	ainsi
quand	quand
marché	marché
porteur	porteur
sélectionne	sélectionn
pas	pas
en	en
revanche	revanche
falloir	falloir
entreprises	entreprise
réagissent	réagir
quand	quand
marché	marché
sera	être
crise	crise
les	le
crises	crise
là	là
indiquer	indiquer
modèle	modèle
fonctionne	fonctionner
plus	plus
observe	observer
pascal	pascal
picq	picq
mais	mais
n'	ne
allez	aller
surtout	surtout
croire	croire
sélection	sélection
naturelle	naturel
loi	loi
non	non
elle	lui
n'	ne
est	être
conséquence	conséquence
nos	notre
actions	action
ainsi	ainsi
l'	le
évolution	évolution
s'	se
arrête	arrêter
jamais	jamais
et	et
citer	citer
célèbre	célèbre
auteur	auteur
anglais	anglais
lewis	lewis
carroll	carroll
qui	qui
livre	livre
intitulé	intituler
de	de
l'	le
autre	autre
côté	côté
miroir	miroir
deuxième	deuxième
volet	volet
d'	de
alice	alice
pays	pays
merveilles	merveille
décrit	décrire
épisode	épisode
duquel	duquel
personnage	personnage
principal	principal
reine	reine
rouge	rouge
lancent	lancer
course	cours
effrénée	effrénée
alice	alice
demande	demande
mais	mais
reine	reine
rouge	rouge
c'	ce
est	être
étrange	étrange
courons	couron
vite	vite
paysage	paysage
autour	autour
change	change
et	et
reine	reine
répondre	répondre
nous	nous
courons	courir
rester	rester
place	place
dans	dans
remarquable	remarquable
ouvrage	ouvrage
pascal	pascal
picq	picq
montre	montre
france	france
lamarckienne	lamarckien
nom	nom
grand	grand
naturaliste	naturaliste
français	français
jean-baptiste	jean-baptiste
lamarck	lamarck
auteur	auteur
philosophie	philosophie
zoologique	zoologique
théorie	théorie
cohérente	cohérent
modification	modification
espèces	espèce
publiée	publier
et	et
constat	constat
n'	ne
est	être
tendre	tendre
marqué	marquer
forte	fort
culture	culture
d'	de
ingénieur	ingénieur
sommes	être
excellents	excellent
développer	développer
filières	filière
existent	exister
déjà	déjà
autrement	autrement
dit	dire
sommes	être
excellents	excellent
l'	le
innovation	innovation
active	actif
marchés	marché
structurés	structurer
résume	résumer
-t	-t
-il	il
en	en
revanche	revanche
faute	faute
d'	de
être	être
darwiniennes	darwinienner
entreprises	entreprise
françaises	français
difficultés	difficulté
émerger	émerger
nouvelles	nouveau
filières	filière
simplement	simplement
parce	parce
l'	le
innovation	innovation
darwinienne	darwinienne
exige	exiger
culture	culture
l'	le
essai	essai
erreur	erreur
pourquoi	pourquoi
france	france
n'	ne
arrive	arriver
-t	-t
-elle	lui
émerger	émerger
entreprises	entreprise
google	google
s'	se
interroge	interroger
-t	-t
-il	il
nous	nous
n'	ne
avons	avoir
l'	le
environnement	environnement
capte	capter
variation	variation
darwinienne	darwinien
dans	dans
couple	couple
variation	variation
sélection	sélection
nécessaire	nécessaire
l'	le
innovation	innovation
disposons	disposon
étape	étape
constate	constater
-t	-t
-il	il
pour	pour
ose	ose
mettre	mettre
pied	pied
l'	le
entreprise	entreprise
n'	ne
hésite	hésit
mouiller	mouiller
créant	créer
une	un
le	le
modèle	modèle
nos	notre
forces	force
suffit	suffit
enjeux	enjeu
demain	demain
aussi	aussi
serait	être
-il	il
tant	tant
l'	le
entreprise	entreprise
prenne	prendre
conscience	conscience
commençant	commencer
lire	lire
livre	livre
pascal	pascal
picq	picq
megha	megha
tropiques	tropiques
mieux	mieux
connaître	connaître
cycle	cycle
l'	le
eau	eau
tropiques	tropique
le	le
programme	programme
franco-indien	franco-indien
mégha	mégha
tropiques	tropiques
lancé	lancer
octobre	octobre
indien	indien
pslv	pslv
base	base
sriharikota	sriharikota
inde	inde
sous	sou
contrôle	contrôle
l'	le
indian	indian
space	space
research	research
organisation	organisation
isro	isro
placé	placer
orbite	orbite
km	kilomètre
d'	de
altitude	altitude
inclinaison	inclinaison
°	degré
emporte	emporte
bord	bord
instruments	instrument
français	français
saphir	saphir
scarab	scarab
l'	le
instrument	instrument
madras	madras
fruit	fruit
d'	de
une	un
coopération	coopération
franco-indienne	franco-indienn
système	système
radio-occultation	radio-occultation
gps	gps
permettre	permettre
fournir	fournir
données	donnée
cycle	cycle
l'	le
eau	eau
atmosphérique	atmosphérique
échanges	échange
d'	de
énergie	énergie
régions	région
intertropicales	intertropical
attendues	attendre
communauté	communauté
scientifique	scientifique
entier	entier
impliquée	impliquer
l'	le
étude	étude
climat	climat
nul	nul
doute	doute
tous	tout
ingénieurs	ingénieur
techniciens	technicien
français	français
indiens	indien
impliqués	impliquer
réalisation	réalisation
programme	programme
pousser	pousser
ouf	ouf
soulagement	soulagement
quand	quand
ils	il
su	savoir
mégha	mégha
tropiques	tropiques
avait	avoir
lancé	lancer
mis	mettre
orbite	orbite
car	car
s'	se
il	il
existe	exister
toujours	toujours
certaine	certain
appréhension	appréhension
moment	moment
décollage	décollage
d'	de
un	un
emporte	emporte
satellite	satellite
puis	pouvoir
ensuite	ensuite
lors	lors
mise	mise
orbite	orbite
un	un
soulagement	soulagement
d'	de
autant	autant
grand	grand
fruit	fruit
d'	de
un	un
long	long
cheminement	cheminement
puisqu'	puisque
il	il
évoqué	évoquer
lors	lors
colloque	colloque
prospective	prospective
cnes	cnes
c'	ce
est	être
occasion	occasion
qu'	que
il	il
recommandé	recommander
d'	de
étudier	étudier
mission	mission
baptisée	baptiser
tropiques	tropiques
dédiée	dédier
cycle	cycle
l'	le
eau	eau
équatorial	équatorial
propriétés	propriété
surface	surface
continentale	continental
cela	celer
dit	dire
n'	ne
est	être
qu'	que
en	en
l'	le
occasion	occasion
d'	de
une	un
rencontre	rencontre
scientifique	scientifique
technique	technique
l'	le
inde	inde
mission	mission
allait	aller
rebaptisé	rebaptiser
mégha	mégha
tropiques	tropiques
mégha	mégha
signifiant	signifier
nuage	nuage
hindi	hindi
véritablement	véritablement
démarré	démarrer
rappelle	rappeler
didier	didier
renaut	renaut
responsable	responsable
programme	programm
météo	météo
climat	climat
cnes	cnes
les	le
contours	contour
fixés	fixé
instruments	instrument
micro-ondes	micro-ondes
imageur	imageur
précipitation	précipitation
sondeur	sondeur
d'	de
eau	eau
fin	fin
après	après
période	période
difficile	difficile
cnes	cnes
raison	raison
difficultés	difficulté
financières	financier
partage	partage
réorganisé	réorganiser
l'	le
inde	inde
acceptant	accepter
prendre	prendre
charge	charge
plate	plat
forme	forme
satellite	satellite
et	et
c'	ce
est	être
l'	le
année	année
suivante	suivant
cnes	cnes
l'	le
isro	isro
signé	signer
l'	le
accord	accord
officiel	officiel
coopération	coopération
développer	développer
conjointement	conjointement
système	système
spatial	spatial
mégha	mégha
tropiques	tropiques
cette	ce
coopération	coopération
france	france
l'	le
inde	inde
genre	genre
vient	venir
d'	de
aboutir	aboutir
mégha	mégha
tropiques	tropiques
placé	placer
orbite	orbite
incliné	incliner
°	degré
l'	le
équateur	équateur
originalité	originalité
lui	luire
permettre	permettre
revisiter	revisiter
fréquemment	fréquemment
régions	région
tropicales	tropical
nombre	nombre
passages	passage
pouvant	pouvoir
aller	aller
jusqu'	jusque
à	à
jour	jour
qu'	que
un	un
orbite	orbite
polaire	polaire
héliosynchrone	héliosynchrone
passe	passer
point	point
terre	terre
jour	jour
une	un
autre	autre
originalité	originalité
combinaison	combinaison
instruments	instrument
instruments	instrument
micro-ondes	micro-ondes
vont	aller
permettre	permettre
non	non
seulement	seulement
d'	de
ausculter	ausculter
nuages	nuage
traverser	traverser
nous	nous
disposons	disposer
d'	de
un	un
ensemble	ensemble
d'	de
instruments	instrument
adapter	adapter
l'	le
étude	étude
cycle	cycle
l'	le
eau	eau
l'	le
énergie	énergie
l'	le
atmosphère	atmosphère
tropicale	tropical
souligne	souligner
didier	didier
renaut	renaut
principal	principal
instrument	instrument
mission	mission
madras	madras
radiomètre	radiomètre
micro-ondes	micro-onde
balayage	balayage
conique	conique
partie	partie
micro-ondes	micro-ondes
développée	développer
cnes	cnes
eads	ead
astrium	astrium
les	le
pourront	pouvoir
disposer	disposer
mesures	mesure
précipitations	précipitation
sol	sol
profils	profil
verticaux	vertical
précipitations	précipitation
données	donnée
concernant	concerner
l'	le
eau	eau
condensée	condenser
nuages	nuage
sous	sou
forme	forme
liquide	liquide
glace	glace
contenu	contenu
intégré	intégré
d'	de
eau	eau
sondeur	sondeur
micro-ondes	micro-ondes
balayage	balayage
transverse	transverse
saphir	saphir
second	second
instrument	instrument
mission	mission
développé	développé
cnes	cnes
permettra	permettra
mesurer	mesurer
condition	condition
nuageuse	nuageux
ciel	ciel
claire	clair
profil	profil
l'	le
atmosphère	atmosphère
km	kilomètre
d'	de
altitude	altitude
troisième	troisième
instrument	instrument
mégha	mégha
tropiques	tropiques
scarab	scarab
lui	luire
radiomètre	radiomètre
balayage	balayage
transverse	transverse
large	large
bande	band
visible	visible
infra-rouge	infra-rouge
grâce	grâce
auquel	auquel
pourront	pouvoir
disposer	disposer
mesures	mesure
flux	flux
radiatifs	radiatif
sortent	sortir
sommet	sommet
l'	le
atmosphère	atmosphère
ondes	onde
longues	long
courtes	courte
le	le
modèle	modèle
vol	vol
conçu	concevoir
cnes	cnes
issu	issu
d'	de
un	un
concept	concept
développé	développé
initialement	initialement
laboratoire	laboratoire
météorologie	météorologie
