mot	racine
après	apres
bac	bac
via	vi
concours	concour
Avenir	aven
impliquée	impliqu
domaines	domain
nécessitent	nécessitent
ruptures	ruptur
technologiques	technolog
transports	transport
Aussi	auss
dispose	dispos
-t	-t
-elle	-el
d'	d'
un	un
abrite	abrit
six	six
équipes	équip
elles	elle
mêmes	mêm
fortement	fort
impliquées	impliqu
pôles	pôl
compétitivité	compétit
région	région
Ile-de-France	ile-de-fr
Moveo	moveo
Astech	astech
région	région
Pays	pay
Loire	loir
ELC2	elc2
En	en
intégrant	integr
groupe	group
ISAE	isa
l'	l'
enjeu	enjeu
créer	cré
valeur	valeur
groupe	group
écoles	écol
font	font
partie	part
déclare	déclar
directrice	directric
l'	l'
Estaca	estac
ajoute	ajout
Notre	notr
valeur	valeur
c'	c'
est	est
d'	d'
apporter	apport
ouverture	ouvertur
vers	ver
d'	d'
autres	autr
domaines	domain
transports	transport
complémentarité	complémentar
profils	profil
Faire	fair
désormais	désorm
partie	part
groupe	group
ISAE	isa
c'	c'
est	est
garantie	garant
d'	d'
un	un
rayonnement	rayon
accru	accru
l'	l'
international	international
l'	l'
Estaca	estac
d'	d'
une	une
grande	grand
opportunité	opportun
collaborations	collabor
bien	bien
termes	term
formation	format
recherche	recherch
projets	projet
communs	commun
Les	le
Ecoles	ecol
l'	l'
armée	armé
l'	l'
air	air
elles	elle
forment	forment
l'	l'
ensemble	ensembl
l'	l'
armée	armé
l'	l'
air	air
quelle	quel
soit	soit
spécialité	spécial
Là	là
aussi	auss
entrent	entrent
niveau	niveau
bac	bac
Sur	sur
l'	l'
établissement	établ
forme	form
chaque	chaqu
année	anné
recrutés	recrut
l'	l'
essentiel	essentiel
classes	class
préparatoires	préparatoir
niveau	niveau
licences	licenc
scientifiques	scientif
obtiennent	obtiennent
diplôme	diplôm
d'	d'
ingénieur	ingénieur
Notre	notr
offre	offre
formation	format
diversifiée	diversifi
Nous	nous
avons	avon
mis	mis
place	plac
filière	fili
sciences	scienc
politiques	polit
partenariat	partenariat
l'	l'
Institut	institut
d'	d'
Etudes	etud
Politiques	polit
Salon-de-Provence	salon-de-provent
Nous	nous
formons	formon
interne	intern
certain	certain
nombre	nombr
sous-officiers	sous-offici
accèdent	accèdent
statut	statut
d'	d'
officier	offici
résume	résum
général	général
Gilles	gill
Modéré	moder
dirige	dirig
établissement	établ
Si	si
nouvel	nouvel
adhérent	adhérent
groupe	group
ISAE	isa
développé	développ
certain	certain
nombre	nombr
Masters	master
Supaero	supaero
l'	l'
ambition	ambit
former	form
experts	expert
militaires	militair
milieu	milieu
aéronautique	aéronaut
spatial	spatial
En	en
outre	outr
Ecoles	ecol
l'	l'
armée	armé
l'	l'
air	air
partenariats	partenariat
forts	fort
trentaine	trentain
pays	pay
reçoivent	reçoivent
étrangers	étranger
d'	d'
une	une
promotion	promot
font	font
formation	format
l'	l'
étranger	étrang
précise	précis
général	général
Mais	mais
au-delà	au-delà
ouverture	ouvertur
monde	mond
Ecoles	ecol
l'	l'
armée	armé
l'	l'
air	air
ouvertes	ouvert
l'	l'
industrie	industr
Membre	membr
pôle	pôl
Pégase	pégas
l'	l'
école	écol
nourrit	nourr
projets	projet
ambitieux	ambiti
Flying	flying
Capabilities	capabilit
Campus	campus
FCC	fcc
qui	qui
terme	term
pourrait	pourr
permettre	permettr
d'	d'
accueillir	accueil
lieu	lieu
différents	différent
acteurs	acteur
recherche	recherch
formation	format
l'	l'
industrie	industr
autour	autour
notion	notion
mise	mis
oeuvre	oeuvr
systèmes	system
aériens	aérien
Enfin	enfin
établissement	établ
dispose	dispos
d'	d'
un	un
pôle	pôl
duquel	duquel
trouvent	trouvent
Centre	centr
l'	l'
armée	armé
l'	l'
air	air
CReA	cre
l'	l'
Onera	oner
Il	il
beaucoup	beaucoup
partager	partag
matière	mati
recherche	recherch
formation	format
l'	l'
apprentissage	apprentissag
d'	d'
ouverture	ouvertur
l'	l'
international	international
nos	nos
partenaires	partenair
Groupe	group
ISAE	isa
estime	estim
général	général
Gilles	gill
Modéré	moder
Pour	pour
l'	l'
industrie	industr
Gifas	gif
Groupement	group
Industries	industr
Françaises	français
l'	l'
Aéronautique	aéronaut
l'	l'
Espace	espac
nos	nos
partenaires	partenair
industriels	industriel
européens	européen
internationaux	international
c'	c'
est	est
aujourd'hui	aujourd'hui
jour	jour
essentiel	essentiel
déclaré	déclar
Lionel	lionel
La	la
Sayette	sayet
président	président
Conseil	conseil
d'	d'
administration	administr
l'	l'
ISAE	isa
vice-président	vice-président
l'	l'
association	associ
Ingénieurs	ingénieur
Scientifiques	scientif
France	franc
IESF	iesf
C'	c'
est	est
extrêmement	extrêm
vivifiant	vivifi
l'	l'
industrie	industr
aéronautique	aéronaut
française	français
grandes	grand
administrations	administr
l'	l'
Europe	europ
savoir	savoir
qu'	qu'
il	il
existe	exist
maintenant	mainten
groupe	group
ISAE	isa
permet	permet
tenir	ten
barre	barr
hauteur	hauteur
où	où
elle	elle
doit	doit
aujourd'hui	aujourd'hui
haut	haut
demain	demain
a	a
-t	-t
-il	-il
ajouté	ajout
Cuisine	cuisin
numérique	numer
SEB	seb
construit	construit
Open	open
Food	food
System	system
Vitagora	vitagor
Agrimip	agrimip
Innovation	innov
Aquimer	aquim
Cap	cap
Digital	digital
Imaginove	imaginov
Microtechniques	microtechn
Pas	pas
moins	moin
pôles	pôl
compétitivité	compétit
impliqués	impliqu
Open	open
Food	food
System	system
l'	l'
objectif	object
d'	d'
imaginer	imagin
concevoir	concevoir
solutions	solut
troisième	troisiem
génération	géner
dite	dit
numérique	numer
Initié	initi
coordonné	coordon
SEB	seb
collaboratif	collabor
regroupe	regroup
partenaires	partenair
soit	soit
environ	environ
personnes	person
dispose	dispos
d'	d'
un	un
budget	budget
millions	million
d'	d'
euros	euros
C'	c'
est	est
fin	fin
année	anné
démarrer	démarr
officiellement	officiel
Projet	projet
Structurant	structur
Pôles	pôl
Compétitivité	compétit
PSPC	pspc
bénéficie	bénéfic
titre	titr
d'	d'
un	un
financement	financ
Investissements	invest
d'	d'
Avenir	aven
Open	open
Food	food
Systeme	system
mobiliser	mobilis
personnes	person
équipes	équip
groupe	group
SEB	seb
ceci	cec
durant	dur
mois	mois
aujourd'hui	aujourd'hui
figure	figur
d'	d'
exception	except
puisque	puisqu
équipe	équip
dédiée	dédi
travaille	travaill
sujets	sujet
nouveaux	nouveau
Groupe	group
applications	appliqu
mobiles	mobil
appareils	appareil
intelligents	intelligent
plateformes	plateform
Web	web
s'	s'
enthousiasme	enthousiasm
Kevin	kevin
Camphuis	camphuis
Mais	mais
réussir	réuss
parfait	parf
mariage	mariag
hardware	hardwar
software	softwar
falloir	falloir
amont	amont
relever	relev
multitude	multitud
défis	def
Par	par
exemple	exempl
capable	capabl
concevoir	concevoir
four	four
saura	saur
comprendre	comprendr
manière	mani
autonome	autonom
passe	pass
cuisson	cuisson
Cela	cel
implique	impliqu
évidemment	évident
savoir	savoir
analyser	analys
données	don
l'	l'
aide	aid
d'	d'
indicateurs	indiqu
pertinents	pertinent
spécifiques	spécif
Côté	côt
software	softwar
plateforme	plateform
logicielle	logiciel
devra	devr
pouvoir	pouvoir
reconnaître	reconnaîtr
comprendre	comprendr
analyser	analys
voire	voir
traduire	traduir
tous	tous
types	typ
contenus	contenus
et	et
après	apres
avoir	avoir
croisés	crois
informations	inform
provenant	proven
appareils	appareil
proposer	propos
utilisateurs	utilis
services	servic
spécifiques	spécif
personnalisés	personnalis
D'	d'
où	où
mobilisation	mobilis
chez	chez
SEB	seb
équipes	équip
développement	développ
Open	open
Food	food
System	system
concentrer	concentr
définition	définit
outils	outil
plateforme	plateform
Et	et
n'	n'
est	est
qu'	qu'
ensuite	ensuit
mettrons	mettron
disposition	disposit
testeurs	testeur
nos	nos
partenaires	partenair
boîte	boît
outils	outil
l'	l'
aide	aid
laquelle	laquel
ils	il
pourront	pourront
proposer	propos
développer	développ
outils	outil
services	servic
innovants	innov
futur	futur
Ce	ce
plateformes	plateform
prototypes	prototyp
baptisées	baptis
Lab	lab
Cook	cook
enrichies	enrich
fur	fur
mesure	mesur
l'	l'
avancée	avanc
projet	projet
seront	seront
mises	mis
disposition	disposit
tous	tous
partenaires	partenair
entreprises	entrepris
développeurs	développeur
start	start
up	up
laboratoires	laboratoir
souhaiteront	souhait
développer	développ
tester	test
propres	propr
outils	outil
services	servic
Il	il
double	doubl
vertueux	vertueux
programme	programm
collaboratif	collabor
multidisciplinaire	multidisciplinair
puisqu'	puisqu'
il	il
permet	permet
d'	d'
associer	associ
partenaires	partenair
experts	expert
inventer	invent
ensemble	ensembl
plateforme	plateform
digitale	digital
sans	san
équivalent	équivalent
motiver	motiv
l'	l'
innovation	innov
partenaires	partenair
dehors	dehor
lui-même	lui-mêm
Le	le
étonnant	éton
programme	programm
technologique	technolog
sans	san
doute	dout
moitié	moiti
ceux	ceux
impliqués	impliqu
issue	issu
sciences	scienc
humaines	humain
Kevin	kevin
Camphuis	camphuis
rappelle	rappel
n'	n'
est	est
développer	développ
technologies	technolog
Il	il
faut	faut
celles-ci	celles-c
soient	soient
humaines	humain
Ces	ce
partenaires	partenair
vont	vont
pouvoir	pouvoir
apporter	apport
contenu	contenu
connaissances	connaiss
utiliser	utilis
ensuite	ensuit
plateforme	plateform
enrichir	enrich
propre	propr
compréhension	compréhens
comportements	comport
humains	humain
face	fac
nouvelles	nouvel
technologies	technolog
permettre	permettr
rendre	rendr
appropriables	appropri
soit	soit
indique	indiqu
-t	-t
-il	-il
Une	une
situation	situat
néanmoins	néanmoin
vraiment	vrai
nouvelle	nouvel
l'	l'
entreprise	entrepris
Selongey	selongey
travaille	travaill
longtemps	longtemp
spécialistes	spécial
disciplines	disciplin
scientifiques	scientif
En	en
revanche	revanch
celle-ci	celle-c
devoir	devoir
apprendre	apprendr
dialoguer	dialogu
partenaires	partenair
spécialistes	spécial
technologies	technolog
logicielles	logiciel
comportements	comport
utilisateurs	utilis
Web	web
Notre	notr
univers	univer
concurrence	concurrent
complètement	complet
explosé	explos
dix	dix
ans	an
Aujourd'hui	aujourd'hui
SEB	seb
retrouve	retrouv
confronté	confront
bien	bien
entreprises	entrepris
l'	l'
agroalimentaire	agroalimentair
adoptent	adoptent
nouvelles	nouvel
démarches	démarch
start	start
up	up
développent	développent
nouveaux	nouveau
concepts	concept
entreprises	entrepris
secteurs	secteur
l'	l'
électronique	électron
Technologies	technolog
l'	l'
Information	inform
Communication	commun
TIC	tic
C'	c'
est	est
dire	dir
l'	l'
importance	import
Open	open
Food	food
System	system
probablement	probabl
large	larg
programmes	programm
jour	jour
domaine	domain
cuisine	cuisin
premiers	premi
fruits	fruit
seront	seront
visibles	visibl
fin	fin
Biophytis	biophyt
poursuit	poursuit
portefeuille	portefeuill
candidats	candidat
médicaments	médic
Créée	cré
Stanislas	stanisl
Veillet	veillet
René	ren
Lafont	lafont
professeur	professeur
l'	l'
UPMC	upmc
Université	univers
Pierre	pierr
Marie	mar
Curie	cur
Biophytis	biophyt
basée	bas
Romainville	romainvill
parc	parc
technologique	technolog
Biocitech	biocitech
près	pres
Paris	paris
développe	développ
portefeuille	portefeuill
candidats	candidat
médicaments	médic
dérivés	dériv
d'	d'
actifs	actif
nutraceutiques	nutraceut
traitement	trait
maladies	malad
métaboliques	métabol
vieillissement	vieil
Ce	ce
portefeuille	portefeuill
compose	compos
jour	jour
actifs	actif
nutraceutiques	nutraceut
actuellement	actuel
phase	phas
clinique	cliniqu
Quinolia	quinoli
traitement	trait
l'	l'
obésité	obes
Bixilla	bixill
protection	protect
peau	peau
UV	uv
candidats	candidat
médicaments	médic
actifs	actif
associés	associ
aujourd'hui	aujourd'hui
phase	phas
préclinique	préclin
traitement	trait
l'	l'
obésité	obes
sarcopénique	sarcopen
Dégénérescence	dégénérescent
Maculaire	maculair
Liée	li
l'	l'
Age	age
DMLA	dmla
Par	par
ailleurs	ailleur
Biophytis	biophyt
co-détient	co-détient
principal	principal
partenaire	partenair
académique	academ
portefeuille	portefeuill
cinq	cinq
familles	famill
brevets	brevet
d'	d'
extension	extens
niveau	niveau
mondial	mondial
Aujourd'hui	aujourd'hui
entreprise	entrepris
annonce	annonc
qu'	qu'
elle	elle
vient	vient
réaliser	réalis
levée	lev
fonds	fond
millions	million
d'	d'
euros	euros
lors	lor
second	second
tour	tour
table	tabl
Souscrite	souscrit
Metabrain	metabrain
Research	research
spin	spin
off	off
groupe	group
Merck	merck
Serono	serono
fonds	fond
capital	capital
risque	risqu
actionnaires	actionnair
historiques	histor
Biophytis	biophyt
gérés	ger
Seventure	seventur
Partners	partner
CM	cm
CIC	cic
Capital	capital
Privé	priv
celle-ci	celle-c
lui	lui
permettre	permettr
poursuivre	poursuivr
portefeuille	portefeuill
Un	un
mené	men
partenariat	partenariat
Metabrain	metabrain
Research	research
projets	projet
collaboratifs	collabor
importants	import
SARCOB	sarcob
MACULIA	maculi
labellisés	labellis
pôle	pôl
compétitivité	compétit
Medicen	medicen
bénéficient	bénéficient
d'	d'
un	un
financement	financ
additionnel	additionnel
millions	million
d'	d'
euros	euros
pouvoirs	pouvoir
publics	public
FUI	fui
FEDER	fed
Conseil	conseil
généraux	général
Seine-Saint-Denis	seine-saint-den
l'	l'
Essonne	esson
Région	région
Ile-de-France	ile-de-fr
Mairie	mair
Paris	paris
Si	si
premier	premi
projets	projet
réalisé	réalis
partenariat	partenariat
l'	l'
UPMC	upmc
l'	l'
Institut	institut
Myologie	myolog
l'	l'
Institut	institut
Cardiométabolime	cardiométabolim
Nutrition	nutrit
l'	l'
INRA	inra
concerne	concern
traitement	trait
l'	l'
obésité	obes
sarcopénique	sarcopen
second	second
développé	développ
partenariat	partenariat
là	là
l'	l'
UPMC	upmc
l'	l'
Institut	institut
Vision	vision
IRIS	iris
Pharma	pharm
Rappelons	rappelon
marché	march
nutrition	nutrit
situe	situ
convergence	convergent
l'	l'
industrie	industr
pharmaceutique	pharmaceut
l'	l'
agroalimentaire	agroalimentair
représente	représent
aujourd'hui	aujourd'hui
milliards	milliard
d'	d'
euros	euros
qu'	qu'
il	il
affiche	affich
croissance	croissanc
an	an
d'	d'
où	où
l'	l'
intérêt	intérêt
qu'	qu'
il	il
suscite	suscit
part	part
nombreux	nombreux
industriel	industriel
Textiles	textil
l'	l'
un	un
meilleurs	meilleur
laboratoires	laboratoir
européens	européen
coeur	coeur
région	région
Nord	nord
Pas-de-Calais	pas-de-cal
Son	son
nom	nom
GEMTEX	gemtex
Génie	gen
Matériaux	matérial
Textiles	textil
Spécialisé	spécialis
nom	nom
l'	l'
indique	indiqu
textile	textil
l'	l'
Ecole	ecol
Nationale	national
Supérieure	supérieur
Arts	art
Industries	industr
Textiles	textil
l'	l'
ENSAIT	ensait
leader	lead
européen	européen
formation	format
d'	d'
ingénieur	ingénieur
textile	textil
regroupe	regroup
personnes	person
doctorants	doctor
post-doctorants	post-doctor
Ses	se
activités	activ
s'	s'
articulent	articulent
autour	autour
groupes	group
autonomes	autonom
dédié	dédi
appliquée	appliqu
textiles	textil
chacun	chacun
d'	d'
entre	entre
eux	eux
dirigé	dirig
professeur	professeur
Le	le
premier	premi
s'	s'
intéresse	intéress
conception	concept
centrée	centr
l'	l'
humain	humain
Le	le
second	second
travaille	travaill
multi-fonctionnels	multi-fonctionnel
processus	processus
Quant	quant
troisième	troisiem
axé	axé
mécanique	mécan
composites	composit
Le	le
GEMTEX	gemtex
génère	géner
millions	million
d'	d'
euros	euros
chiffre	chiffr
d'	d'
affaires	affair
millions	million
d'	d'
euros	euros
concerne	concern
vingtaine	vingtain
contrats	contrat
collaboratifs	collabor
ANR	anr
FUI	fui
PCRD	pcrd
millions	million
d'	d'
euros	euros
contrats	contrat
privés	priv
Dans	dan
classement	class
NoetonTexRank	noetontexrank
innovation	innov
cabinet	cabinet
conseil	conseil
hollandais	holland
Noeton	noeton
Textile	textil
GEMTEX	gemtex
apparaît	apparaît
l'	l'
un	un
meilleurs	meilleur
laboratoires	laboratoir
européens	européen
domaine	domain
textiles	textil
Le	le
travail	travail
cabinet	cabinet
objectif	object
promouvoir	promouvoir
transparence	transparent
l'	l'
offre	offre
d'	d'
innovation	innov
permettre	permettr
meilleure	meilleur
coopération	cooper
organismes	organ
l'	l'
industrie	industr
vient	vient
publier	publi
nouveau	nouveau
classement	class
Précisons	précison
celui-ci	celui-c
s'	s'
est	est
concentré	concentr
uniquement	uniqu
l'	l'
excellence	excellent
scientifique	scientif
évaluée	évalu
termes	term
publications	publiqu
textiles	textil
Or	or
l'	l'
ENSAIT	ensait
précisément	précis
GEMTEX	gemtex
occupe	occup
troisième	troisiem
rang	rang
européen	européen
derrière	derri
l'	l'
Université	univers
Lodz	lodz
Pologne	pologn
l'	l'
Université	univers
Gand	gand
Belgique	belgiqu
publications	publiqu
termes	term
quantité	quantit
publication	publiqu
Mais	mais
termes	term
qualité	qualit
critère	criter
combinant	combin
mesure	mesur
quantitative	quantit
qualitative	qualit
région	région
Nord	nord
Pas-de-Calais	pas-de-cal
classe	class
second	second
derrière	derri
l'	l'
Ecole	ecol
Supérieure	supérieur
Polytechnique	polytechn
d'	d'
Aix-la-Chapelle	aix-la-chapel
RWTH	rwth
Allemagne	allemagn
Enfin	enfin
classement	class
global	global
prend	prend
compte	compt
différents	différent
critères	criter
excellence	excellent
scientifique	scientif
implications	impliqu
industrielles	industriel
capital	capital
humain	humain
transparence	transparent
responsabilisation	responsabilis
GEMTEX	gemtex
prend	prend
cinquième	cinquiem
place	plac
derrière	derri
RWTH	rwth
d'	d'
Aix-la-Chapelle	aix-la-chapel
l'	l'
Université	univers
Manchester	manchest
Angleterre	angleterr
l'	l'
Université	univers
Dresde	dresd
Allemagne	allemagn
l'	l'
Université	univers
suédoise	suédois
Boras	bor
L'	l'
Institut	institut
National	national
Polytechnique	polytechn
Toulouse	toulous
transfère	transfer
savoir	savoir
au-delà	au-delà
frontières	fronti
l'	l'
Hexagone	hexagon
Chaque	chaqu
année	anné
quatre	quatr
ans	an
environ	environ
vingt	vingt
étudiants	étudi
enseignants	enseign
chinois	chinois
venus	venus
l'	l'
Université	univers
Tianjin	tianjin
formés	form
l'	l'
INP	inp
ENSIACET	ensiacet
D'	d'
une	une
durée	dur
ans	an
formation	format
porte	port
génie	gen
industriels	industriel
permet	permet
d'	d'
obtenir	obten
Diplôme	diplôm
Hautes	haut
Etudes	etud
Technologiques	technolog
DHET	dhet
l'	l'
Institut	institut
National	national
Polytechnique	polytechn
Toulouse	toulous
INP	inp
Toulouse	toulous
soit	soit
l'	l'
équivalent	équivalent
d'	d'
un	un
Master	mast
De	de
côté	côt
grâce	grâc
WEB	web
LAB	lab
étudiants	étudi
brésiliens	brésilien
l'	l'
Université	univers
Sao	sao
Paulo	paulo
possibilité	possibil
piloter	pilot
distance	distanc
appareils	appareil
situés	situ
Toulouse	toulous
Laboratoire	laboratoir
Chimie	chim
l'	l'
INP	inp
ENSIACET	ensiacet
Ainsi	ains
via	vi
Internet	internet
étudiants	étudi
brésiliens	brésilien
réalisent	réalisent
chaque	chaqu
année	anné
certains	certain
pratiques	pratiqu
Génie	gen
procédés	proced
Dès	des
printemps	printemp
enseignants	enseign
chercheurs	chercheur
grand	grand
établissement	établ
d'	d'
enseignement	enseign
supérieur	supérieur
toulousain	toulousain
iront	iront
dispenser	dispens
savoir	savoir
d'	d'
universités	univers
situées	situ
Mexique	mexiqu
Colombie	colomb
Equateur	equateur
pays	pay
où	où
l'	l'
INP	inp
Toulouse	toulous
participe	particip
programmes	programm
PREFALC	prefalc
cours	cour
ingénierie	ingénier
formations	format
Leur	leur
conduira	conduir
reformater	reformat
certaines	certain
formations	format
existantes	exist
Une	une
coopération	cooper
devrait	devr
aboutir	about
d'	d'
ici	ici
création	création
d'	d'
un	un
Master	mast
international	international
commun	commun
valorisation	valoris
produits	produit
résidus	résidus
végétaux	végétal
Depuis	depuis
rentrée	rentr
septembre	septembr
dernier	derni
c'	c'
est	est
l'	l'
Université	univers
Antilles	antill
Guyane	guyan
UAG	uag
l'	l'
INP	inp
Toulouse	toulous
poursuit	poursuit
transfert	transfert
savoir	savoir
travers	traver
d'	d'
une	une
formation	format
Génie	gen
l'	l'
Environnement	environ
spécialité	spécial
matériaux	matérial
Il	il
s'	s'
agit	agit
d'	d'
un	un
cursus	cursus
aborde	abord
problématiques	problémat
cycle	cycl
vie	vi
d'	d'
un	un
produit	produit
conception	concept
recyclage	recyclag
prenant	pren
compte	compt
toutes	tout
contraintes	contraint
environnementales	environnemental
Accueillis	accueil
campus	campus
Toulouse	toulous
étudiants	étudi
1ère	1er
année	anné
repartiront	repart
l'	l'
été	été
Guadeloupe	guadeloup
terminer	termin
formation	format
laquelle	laquel
l'	l'
INP	inp
Toulouse	toulous
fournit	fourn
l'	l'
ingénierie	ingénier
pédagogique	pédagog
En	en
septembre	septembr
nouveau	nouveau
cursus	cursus
d'	d'
ingénieur	ingénieur
Génie	gen
Systèmes	system
Energétiques	energet
d'	d'
une	une
durée	dur
ans	an
sera	ser
lancé	lanc
tour	tour
Cette	cet
formation	format
sera	ser
axée	axé
conception	concept
l'	l'
optimisation	optimis
industrielles	industriel
production	product
stockage	stockag
transport	transport
d'	d'
énergie	énerg
Créées	cré
d'	d'
une	une
Convention	convent
l'	l'
INP	inp
Toulouse	toulous
l'	l'
UAG	uag
formations	format
vont	vont
permettre	permettr
ingénieurs	ingénieur
d'	d'
être	être
diplômés	diplôm
chaque	chaqu
année	anné
témoignent	témoignent
volonté	volont
quasiment	quas
inscrite	inscrit
gènes	gen
grand	grand
établissement	établ
d'	d'
enseignement	enseign
supérieur	supérieur
qu'	qu'
est	est
l'	l'
INP	inp
Toulouse	toulous
transférer	transfer
savoir	savoir
au-delà	au-delà
frontières	fronti
l'	l'
Hexagone	hexagon
La	la
place	plac
l'	l'
énergie	énerg
panel	panel
énergies	énerg
renouvelables	renouvel
Les	le
novembre	novembr
l'	l'
Ecole	ecol
Nationale	national
Supérieure	supérieur
l'	l'
Energie	energ
l'	l'
Eau	eau
l'	l'
Environnement	environ
campus	campus
Grenoble	grenobl
organisé	organis
25ème	25em
Entretiens	entretien
Centre	centr
Jacques	jacqu
Cartier	carti
partenariat	partenariat
Hydro	hydro
colloque	colloqu
intitulé	intitul
La	la
place	plac
l'	l'
énergie	énerg
panel	panel
énergies	énerg
renouvelables	renouvel
Dans	dan
contexte	context
changement	chang
climatique	climat
qui	qui
évidemment	évident
entraîne	entraîn
attention	attent
soutenue	soutenu
sources	sourc
d'	d'
énergies	énerg
renouvelables	renouvel
jamais	jam
nécessaire	nécessair
point	point
l'	l'
énergie	énerg
hydraulique	hydraul
filière	fili
ancienneté	anciennet
conduit	conduit
trop	trop
souvent	souvent
négliger	néglig
celle-ci	celle-c
contribuera	contribu
décarboner	décarbon
systèmes	system
génération	géner
électrique	électr
prochaines	prochain
décennies	décen
Aussi	auss
colloque	colloqu
où	où
large	larg
place	plac
sera	ser
réservée	réserv
débats	débat
réunira	réun
-t	-t
-il	-il
durant	dur
jours	jour
principaux	principal
experts	expert
industriels	industriel
scientifiques	scientif
aborder	abord
sujets	sujet
divers	diver
variés	vari
Ainsi	ains
parlera	parl
perspectives	perspect
mondiales	mondial
énergies	énerg
renouvelables	renouvel
place	plac
l'	l'
énergie	énerg
panel	panel
diverses	divers
sources	sourc
d'	d'
énergies	énerg
disponibles	disponibl
couplage	couplag
l'	l'
énergie	énerg
autres	autr
sources	sourc
d'	d'
énergies	énerg
renouvelables	renouvel
intermittentes	intermittent
interaction	interact
réseaux	réseau
intelligents	intelligent
enfin	enfin
point	point
vue	vu
industriels	industriel
centres	centr
composantes	compos
travers	traver
projets	projet
d'	d'
aménagements	aménag
innovations	innov
technologiques	technolog
préparation	prépar
pompage	pompag
réhabilitation	réhabilit
hydroliennes	hydrolien
Le	le
colloque	colloqu
terminera	termin
plénière	pléni
permettra	permettr
discuter	discut
grandes	grand
questions	question
soulevées	soulev
présentations	présent
mettre	mettr
commun	commun
idées	idé
chacun	chacun
participants	particip
La	la
Grande	grand
sur-	sur-
Bouffe	bouff
finir	fin
gaspillage	gaspillag
alimentaire	alimentair
Peut	peut
-on	-on
éviter	évit
Grande	grand
sur-	sur-
Bouffe	bouff
quelle	quel
manière	mani
Le	le
livre	livr
Bruno	bruno
Lhoste	lhost
directeur	directeur
général	général
d'	d'
Indigo	indigo
société	societ
conseil	conseil
d'	d'
ingénierie	ingénier
durable	durabl
dresse	dress
l'	l'
état	état
lieux	lieux
situation	situat
française	français
partir	part
études	étud
récentes	récent
explore	explor
solutions	solut
envisageables	envisage
Ainsi	ains
s'	s'
inspirant	inspir
d'	d'
actions	action
innovantes	innov
France	franc
Europe	europ
propose	propos
pistes	pist
d'	d'
amélioration	amélior
court	court
terme	term
Mais	mais
l'	l'
auteur	auteur
présente	présent
moyens	moyen
évoluer	évolu
profondément	profond
système	system
production	product
alimentaire	alimentair
actuel	actuel
générer	géner
réductions	réduct
pérennes	péren
gaspillage	gaspillag
clé	clé
conséquences	conséquent
positives	posit
tant	tant
termes	term
santé	sant
publique	publiqu
d'	d'
emplois	emplois
Arrivée	arriv
prochaine	prochain
d'	d'
un	un
nouveau	nouveau
ciment	ciment
biomimétique	biomimet
injectable	inject
l'	l'
os	os
Le	le
octobre	octobr
dernier	derni
l'	l'
occasion	occas
6ème	6em
édition	édit
bourses	bours
L'	l'
Oréal	oréal
France	franc
Unesco	unesco
Académie	academ
sciences	scienc
Pour	pour
femmes	femm
science	scienc
doctorantes	doctor
dernière	derni
année	anné
thèse	thes
sciences	scienc
vivant	viv
sciences	scienc
matière	mati
récompensées	récompens
Parmi	parm
lauréates	lauréat
Sylvaine	sylvain
Jacquart	jacquart
réalise	réalis
thèse	thes
sous	sous
direction	direct
Christèle	christel
Combes	comb
l'	l'
équipe	équip
Phosphates	phosphat
Pharmacotechnie	pharmacotechn
Biomatériaux	biomatérial
PPB	ppb
l'	l'
Institut	institut
Carnot	carnot
CIRIMAT	cirimat
l'	l'
INP	inp
ENSIACET	ensiacet
Toulouse	toulous
Objectif	object
menés	men
d'	d'
un	un
six	six
laboratoires	laboratoir
français	franc
collaboration	collabor
PME	pme
lyonnaise	lyonnais
mise	mis
point	point
d'	d'
un	un
ciment	ciment
biomimétique	biomimet
injectable	inject
directement	direct
cavité	cavit
osseuse	osseux
combler	combl
C'	c'
est	est
études	étud
d'	d'
ingénieur	ingénieur
Chimie	chim
ParisTech	paristech
jeune	jeun
femme	femm
originaire	originair
nord	nord
France	franc
commencé	commenc
s'	s'
intéresser	intéress
particulièrement	particuli
matériaux	matérial
santé	sant
Son	son
diplôme	diplôm
d'	d'
ingénieur	ingénieur
poche	poch
c'	c'
est	est
naturellement	naturel
qu'	qu'
elle	elle
décide	décid
thèse	thes
domaine	domain
biomatériaux	biomatérial
Centre	centr
Inter-universitaire	inter-universitair
Recherche	recherch
d'	d'
Ingénérie	ingéner
Matériaux	matérial
CIRIMAT	cirimat
Unité	unit
Mixte	mixt
Recherche	recherch
CNRS	cnr
Université	univers
Paul	paul
Sabatier	sabati
INP	inp
Toulouse	toulous
Environ	environ
personnes	person
réparties	répart
équipes	équip
travaillent	travaillent
Institut	institut
Carnot	carnot
CIRIMAT	cirimat
activités	activ
couvrent	couvrent
large	larg
éventail	éventail
matériaux	matérial
métaux	métal
alliages	alliag
métalliques	métall
passant	pass
polymères	polymer
L'	l'
équipe	équip
Phosphates	phosphat
Pharmacotechnie	pharmacotechn
Biomatériaux	biomatérial
laquelle	laquel
je	je
réalise	réalis
ma	ma
thèse	thes
travaille	travaill
autour	autour
phosphates	phosphat
calcium	calcium
constituent	constituent
partie	part
minérale	minéral
l'	l'
os	os
dent	dent
développe	développ
matériaux	matérial
divers	diver
appliqués	appliqu
domaine	domain
